end_session,coef,se,n,ci_low,ci_high
2023-09-01,-0.2893126721215421,0.14696108686192813,2997,-0.5773564023709212,-0.0012689418721629764
2023-09-05,-0.29267857157399796,0.14664714523876074,2997,-0.580106976241969,-0.005250166906026921
2023-09-06,-0.3031532831426518,0.146649521656839,2997,-0.5905863455900562,-0.01572022069524731
2023-09-07,-0.30480044994315963,0.14676796613067236,2997,-0.5924656635592774,-0.017135236327041836
2023-09-08,-0.3025633391215468,0.1478091326302879,2997,-0.5922692390769111,-0.012857439166182538
2023-09-11,-0.3134987577846205,0.14797937723952875,2997,-0.6035383371740968,-0.023459178395144165
2023-09-12,-0.30973629782801243,0.14892495148801174,2997,-0.6016292027445154,-0.017843392911509437
2023-09-13,-0.3060192165224683,0.14896677181455395,2997,-0.597994089278994,-0.014044343765942546
2023-09-14,-0.3181034295805377,0.14891861114166427,2997,-0.6099839074181996,-0.026222951742875755
2023-09-15,-0.34624874565095337,0.1478747690865282,2997,-0.6360832930605487,-0.05641419824135813
2023-09-18,-0.34594100950874535,0.14787452518637012,2997,-0.6357750788740308,-0.056106940143459905
2023-09-19,-0.34590288728825747,0.1480006519037697,2997,-0.635984165019646,-0.05582160955686882
2023-09-20,-0.32401164480310285,0.1488714318272901,2997,-0.6157996511845915,-0.03222363842161424
2023-09-21,-0.3352919492442214,0.14860772651605278,2998,-0.6265630932156848,-0.04402080527275798
2023-09-22,-0.3082609128750576,0.14678785505939496,2998,-0.5959651087914717,-0.020556716958643473
2023-09-25,-0.31231408977639824,0.14724996896386952,2998,-0.6009240289455825,-0.02370415060721398
2023-09-26,-0.30026451045301167,0.14929464316307728,2998,-0.5928820110526432,-0.007647009853380182
2023-09-27,-0.287790945696278,0.14958282403039266,2998,-0.5809732807958476,0.005391389403291591
2023-09-28,-0.2851016172720551,0.1498146460640047,2998,-0.5787383235575043,0.008535089013394115
2023-09-29,-0.2831559093666625,0.149756066810719,2998,-0.5766778003156718,0.01036598158234675
2023-10-02,-0.2891158123673513,0.148916646097581,2998,-0.5809924387186101,0.002760813983907484
2023-10-03,-0.31735993229381587,0.15210786182914643,2998,-0.6154913414789429,-0.01922852310868889
2023-10-04,-0.3408314361854512,0.15111634622190037,2998,-0.6370194747803759,-0.04464339759052649
2023-10-05,-0.33104129165097845,0.15223443888174942,2998,-0.6294207918592073,-0.03266179144274961
2023-10-06,-0.306269654239891,0.15304497796158661,2998,-0.6062378110446007,-0.006301497435181214
2023-10-09,-0.30166567169994796,0.15309892187254873,2998,-0.6017395585701435,-0.001591784829752474
2023-10-10,-0.2968067097778795,0.1542100111988215,2998,-0.5990583317275696,0.005444912171810645
2023-10-11,-0.26143498645559665,0.15364345183700917,2998,-0.5625761520561346,0.039706179144941345
2023-10-12,-0.24878893921684042,0.15399360383221133,2998,-0.5506164027279746,0.05303852429429379
2023-10-13,-0.25326514488094404,0.1540532158610129,2998,-0.5552094479685292,0.048679158206641204
2023-10-16,-0.2677140891741201,0.15257314044111298,2998,-0.5667574444387016,0.03132926609046133
2023-10-17,-0.2729494904071412,0.1526737782842966,2998,-0.5721900958443625,0.02629111503008008
2023-10-18,-0.2748896810670446,0.152702118235041,2998,-0.574185832807725,0.02440647067363577
2023-10-19,-0.27795395473497403,0.1530097093583789,2998,-0.5778529850773967,0.021945075607448628
2023-10-20,-0.28830787270990593,0.15163006589469483,2998,-0.5855028018635078,0.008887056443695918
2023-10-23,-0.2918710039579308,0.1513465864511007,2998,-0.5885103134020881,0.004768305486226532
2023-10-24,-0.262500414144002,0.1505737258767242,2998,-0.5576249168623815,0.032624088574377486
2023-10-25,-0.2521626166337677,0.15120170410124592,2998,-0.5485179566722097,0.04419272340467428
2023-10-26,-0.26783340375469133,0.15034394803840967,2998,-0.5625075419099743,0.026840734400591593
2023-10-27,-0.26273796584574277,0.15106878882790492,2998,-0.5588327919484364,0.03335686025695089
2023-10-30,-0.2607100449277853,0.15087832063652032,2998,-0.5564315533753652,0.035011463519794506
2023-10-31,-0.25670640239528575,0.15100413398981952,2998,-0.552674505015332,0.0392617002247605
2023-11-01,-0.24524223195591172,0.1521743647154373,2998,-0.5435039867981688,0.05301952288634537
2023-11-02,-0.24562500984991653,0.151847843823369,2997,-0.5432467837437198,0.0519967640438867
2023-11-03,-0.2307045289255902,0.1517840365179,2997,-0.5282012405006742,0.0667921826494938
2023-11-06,-0.2376445707968645,0.15153963908667686,2997,-0.5346622634067512,0.05937312181302215
2023-11-07,-0.23780296024898404,0.15168677675950348,2997,-0.5351090426976108,0.059503122199642794
2023-11-08,-0.2342022972239282,0.15209581512943146,2997,-0.5323100948776138,0.06390550042975746
2023-11-09,-0.23294330907007862,0.15213427167345314,2997,-0.5311264815500468,0.06523986340988955
2023-11-10,-0.2575214853052649,0.15216793295236944,2997,-0.5557706338919091,0.04072766328137917
2023-11-13,-0.22965734376941255,0.15052473458215906,2997,-0.5246858235504444,0.0653711360116192
2023-11-14,-0.24320758247549773,0.15045896436988646,2997,-0.5381071526404752,0.05169198768947969
2023-11-15,-0.23867489042940848,0.15109790945791593,2997,-0.5348267929669237,0.05747701210810674
2023-11-16,-0.24860440450658255,0.15051844109079562,2997,-0.543620549044542,0.04641174003137688
