direction,volume_regime,outcome,n,n_dates,mean_bps,ci_low_bps,ci_high_bps,median_bps,median_ci_low_bps,median_ci_high_bps,t_stat_clustered,std_bps,p_positive,mean_close30_bps,mean_avol,p_same_sign,p_same_ci_low,p_same_ci_high,excess_bps,excess_ci_low_bps,excess_ci_high_bps,excess_p_value
all (baseline),all,r_session_next,14958,1256,3.8593446966732063,-2.9402370392298742,10.563103334308742,5.271811604811161,0.0,10.042709214469257,1.120729825123542,175.1654314697509,0.5167134643668939,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_session_next,625,269,0.1683079424334046,-29.979618836224816,28.476759676177466,5.050249987375022,-16.68891855807764,33.97508493771184,0.0980969927593329,206.3195424867607,0.5152,83.76765862563485,0.532590628736503,0.5152,0.451406383585067,0.5779223622262152,-3.6910367542398017,-32.74628201381539,23.014714828835263,0.8024
strong up,ordinary,r_session_next,391,201,-9.588833774374507,-33.780591474041444,14.675634399737362,-2.0302507359670763,-24.521824423736625,17.418187555026872,0.6060786094908959,162.9005152986051,0.4859335038363171,58.77676526799194,-0.06075659172566303,0.4859335038363171,0.41904761904761906,0.5562013226926771,-13.448178471047711,-36.56782730683244,9.367279424672088,0.262
strong down,high,r_session_next,611,261,10.748693395227532,-13.408132655023381,35.23672868551266,6.916526174729487,-15.3073558539006,22.85476833575606,0.4417891763391919,200.53184553284757,0.5122749590834698,-85.50440385836389,0.5127481509754972,0.4877250409165303,0.4295407609451975,0.5498413274655365,6.8893486985543255,-15.421309324159786,30.332357498910365,0.5632
strong down,ordinary,r_session_next,347,195,-11.957952388007032,-34.26097884909332,9.9598771533578,-8.387251377904859,-28.85077736816788,14.2920946851266,-0.8458630615524682,162.2620917569635,0.46397694524495675,-69.59671761367501,-0.042880227281773355,0.5331412103746398,0.46022601568785193,0.6055911556294287,-15.817297084680238,-37.72859213044624,5.548199064679862,0.148
all (baseline),all,r_next_close_to_close,14958,1256,8.55358175293402,0.447990606134084,16.65244374966845,9.983964771279608,3.8516844700087205,15.333074536917756,2.0783368919782403,218.30832271113312,0.5284128894237198,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_next_close_to_close,625,269,6.912711981948448,-24.55986723671672,37.92801515077019,15.679715674488115,-14.232181927467808,44.96663765593212,-0.09267808251468103,251.82837346592441,0.5296,83.76765862563485,0.532590628736503,0.5296,0.46577404334020756,0.5925378501901738,-1.6408697709855726,-31.790701434567815,28.018837861798765,0.914
strong up,ordinary,r_next_close_to_close,391,201,-6.597167416996437,-36.92726310298863,24.00323107998476,-9.659203487220047,-29.996319895532196,16.746593590621917,-0.151528902390227,205.26831375701082,0.4833759590792839,58.77676526799194,-0.06075659172566303,0.4833759590792839,0.4088513214974293,0.5589625665215288,-15.150749169930457,-43.624730483114284,13.670171670591445,0.3128
strong down,high,r_next_close_to_close,611,261,39.38718876450145,10.445523906338416,66.7315825414622,42.57177164065151,14.84836067814438,64.34529326095672,2.776967924066918,238.72668440955033,0.5973813420621932,-85.50440385836389,0.5127481509754972,0.4026186579378069,0.34628635498776844,0.46154173764906303,30.83360701156743,3.7103565737667568,57.27650660734668,0.0256
strong down,ordinary,r_next_close_to_close,347,195,6.360638481285892,-27.140074230473004,38.42832263702942,18.92529163564305,-11.007505956378186,48.11547714514974,0.8042330963554601,231.2758289302123,0.547550432276657,-69.59671761367501,-0.042880227281773355,0.45244956772334294,0.38281192043768547,0.5233918128654971,-2.192943271648129,-33.74210775629718,28.458580896302603,0.8986
